iter	Logloss
0	0.6341262319
1	0.5888950018
2	0.5480285265
3	0.5188250915
4	0.4942811444
5	0.4782804245
6	0.4645793151
7	0.4518414673
8	0.4414912062
9	0.4344741533
10	0.4292877413
11	0.4236497387
12	0.4192127084
13	0.4151424254
14	0.4121678343
15	0.4091258907
16	0.4070174109
17	0.4050831678
18	0.4033625063
19	0.4015493934
20	0.399646589
21	0.3982170429
22	0.3970115953
23	0.3958415022
24	0.3948070094
25	0.3940861948
26	0.3932131468
27	0.3922209452
28	0.3914076046
29	0.3908317137
30	0.3901567705
31	0.3896709068
32	0.3892724971
33	0.388707123
34	0.3876232905
35	0.3869141488
36	0.3864256746
37	0.385804509
38	0.3855026157
39	0.385092906
40	0.3847997394
41	0.3844718149
42	0.3836794708
43	0.3833777266
44	0.3826970774
45	0.3825123985
46	0.3822341494
47	0.3819943876
48	0.3814285287
49	0.3811321921
50	0.380796809
51	0.3803756873
52	0.3801419671
53	0.3796569612
54	0.3794016851
55	0.3791732232
56	0.3787017177
57	0.3782784703
58	0.3780148777
59	0.377574326
60	0.3771965398
61	0.3769059464
62	0.3765331203
63	0.3763109611
64	0.3759677462
65	0.3757368976
66	0.3755256655
67	0.3751952424
68	0.3750114585
69	0.3748457249
70	0.3746683182
71	0.3744014065
72	0.3741752942
73	0.373947429
74	0.3737761759
75	0.3736385244
76	0.3735097862
77	0.3732513402
78	0.3730455157
79	0.372861508
80	0.372642668
81	0.372549881
82	0.3724260656
83	0.3722619729
84	0.3721453924
85	0.3719696267
86	0.3717225926
87	0.3716513241
88	0.3714654145
89	0.3712949818
90	0.3711158224
91	0.3710213945
92	0.3708326505
93	0.3706833635
94	0.3705298994
95	0.370349845
96	0.3702480329
97	0.3701028108
98	0.3699909667
99	0.3698504436
100	0.3697914076
101	0.3696894463
102	0.3694955558
103	0.3693991513
104	0.369245016
105	0.369146001
106	0.3690592929
107	0.3689225365
108	0.3688101703
109	0.3686257524
110	0.3684854531
111	0.3683028254
112	0.3681872146
113	0.3679701647
114	0.3678892371
115	0.3677755656
116	0.3676589479
117	0.3675549727
118	0.3674767676
119	0.3673302776
120	0.3672600533
121	0.3671891951
122	0.3670994662
123	0.367006008
124	0.3669469346
125	0.3668605994
126	0.366758489
127	0.3666511574
128	0.3665877207
129	0.3665139908
130	0.3664223599
131	0.3662563279
132	0.3661784585
133	0.366117595
134	0.3660239875
135	0.3659574554
136	0.365894578
137	0.3657887755
138	0.3657241453
139	0.3656884179
140	0.3656109214
141	0.3655278681
142	0.3654503715
143	0.3653641856
144	0.3653196195
145	0.3652804237
146	0.3651817816
147	0.3651119676
148	0.3650273106
149	0.3649818495
150	0.3649046886
151	0.3648077993
152	0.3647219117
153	0.3646331524
154	0.3645685968
155	0.3644522775
156	0.3643654202
157	0.364267524
158	0.364195808
159	0.3641528455
160	0.3640918329
161	0.3640115766
162	0.3638719113
163	0.3638150382
164	0.36375865
165	0.3636896938
166	0.3636377808
167	0.3635486486
168	0.3635085578
169	0.3634541834
170	0.3634078272
171	0.3633623288
172	0.3632799095
173	0.3632030842
174	0.3631335686
175	0.3630735628
176	0.3630146013
177	0.362952619
178	0.3628765024
179	0.3628351436
180	0.3627682758
181	0.3626952918
182	0.3626076514
183	0.3625638684
184	0.3624876026
185	0.3623671063
186	0.3622778996
187	0.3621936901
188	0.3621134339
189	0.3620552928
190	0.3619569118
191	0.3619059684
192	0.3618599106
193	0.3617878217
194	0.3617546675
195	0.3616875013
196	0.3616258174
197	0.3615991896
198	0.3615451882
199	0.3614568392
200	0.361373674
201	0.3613074029
202	0.3612048449
203	0.3611574445
204	0.3611204491
205	0.3610699533
206	0.3610263195
207	0.3609764577
208	0.3609235005
209	0.3608704314
210	0.3608161316
211	0.3607797329
212	0.3607450496
213	0.3606846337
214	0.3606539782
215	0.3606213461
216	0.3605621981
217	0.360520168
218	0.3604518458
219	0.3604151487
220	0.3603633103
221	0.3603188561
222	0.3602723134
223	0.360214769
224	0.3601558075
225	0.3601118381
226	0.3600720457
227	0.3600388542
228	0.3599748207
229	0.3599460672
230	0.3599117942
231	0.3598659228
232	0.35979499
233	0.359729241
234	0.3596847495
235	0.3596552128
236	0.3596158679
237	0.3595382967
238	0.3594951478
239	0.3594502461
240	0.3593781199
241	0.3593372459
242	0.3592850718
243	0.3592253271
244	0.3591688643
245	0.3591285497
246	0.3590971483
247	0.3590570575
248	0.3590201739
249	0.3589869452
250	0.3589457355
251	0.3589100453
252	0.3588887879
253	0.358836129
254	0.3588011101
255	0.3587803748
256	0.3587486378
257	0.3587019086
258	0.3586235543
259	0.3585691054
260	0.3585377786
261	0.3584873574
262	0.3584501009
263	0.3584161262
264	0.3583903562
265	0.3583419488
266	0.3582919378
267	0.358261245
268	0.3582285011
