iter	Passed	Remaining
0	189	62760
1	367	60617
2	552	60644
3	729	59809
4	921	60274
5	1103	59941
6	1272	59059
7	1456	58971
8	1627	58415
9	1817	58533
10	1988	58021
11	2165	57751
12	2333	57256
13	2510	57016
14	2680	56650
15	2846	56214
16	3008	55742
17	3208	55972
18	3389	55829
19	3552	55426
20	3711	54967
21	3880	54674
22	4056	54494
23	4257	54631
24	4458	54756
25	4649	54724
26	4813	54370
27	4988	54158
28	5145	53764
29	5334	53703
30	5486	53269
31	5631	52794
32	5773	52314
33	5942	52082
34	6113	51874
35	6281	51644
36	6454	51463
37	6622	51238
38	6772	50876
39	6944	50695
40	7126	50580
41	7304	50433
42	7455	50107
43	7617	49861
44	7774	49586
45	7948	49419
46	8126	49275
47	8299	49103
48	8470	48920
49	8646	48768
50	8804	48509
51	8956	48228
52	9133	48081
53	9323	47998
54	9503	47865
55	9662	47620
56	9828	47416
57	10008	47283
58	10185	47127
59	10346	46903
60	10522	46749
61	10681	46516
62	10862	46380
63	11044	46249
64	11203	46020
65	11368	45816
66	11531	45608
67	11711	45467
68	11896	45345
69	12098	45282
70	12286	45167
71	12456	44980
72	12638	44842
73	12826	44717
74	12999	44543
75	13157	44318
76	13339	44175
77	13511	43999
78	13706	43895
79	13906	43806
80	14071	43604
81	14262	43482
82	14462	43388
83	14660	43284
84	14838	43118
85	15002	42914
86	15156	42683
87	15335	42520
88	15501	42323
89	15677	42156
90	15865	42018
91	16031	41821
92	16215	41672
93	16405	41536
94	16583	41371
95	16784	41260
96	16937	41034
97	17131	40905
98	17321	40767
99	17496	40591
100	17669	40413
101	17854	40259
102	18021	40066
103	18211	39926
104	18393	39764
105	18550	39551
106	18755	39439
107	18934	39270
108	19135	39149
109	19330	39011
110	19516	38856
111	19679	38655
112	19858	38487
113	20049	38340
114	20247	38205
115	20461	38100
116	20676	37995
117	20856	37823
118	21055	37688
119	21249	37541
120	21458	37420
121	21634	37239
122	21819	37075
123	22007	36915
124	22191	36748
125	22373	36579
126	22554	36406
127	22724	36216
128	22903	36042
129	23085	35871
130	23282	35722
131	23461	35547
132	23645	35379
133	23818	35194
134	23999	35021
135	24180	34848
136	24371	34688
137	24528	34482
138	24700	34296
139	24860	34094
140	25052	33936
141	25219	33744
142	25393	33562
143	25563	33375
144	25721	33171
145	25872	32961
146	26058	32794
147	26224	32603
148	26395	32418
149	26571	32240
150	26761	32077
151	26949	31914
152	27137	31748
153	27332	31592
154	27501	31404
155	27663	31210
156	27821	31011
157	27986	30820
158	28168	30648
159	28331	30456
160	28496	30266
161	28659	30074
162	28823	29884
163	29021	29729
164	29210	29564
165	29375	29375
166	29539	29185
167	29716	29009
168	29900	28839
169	30086	28670
170	30257	28488
171	30429	28306
172	30603	28126
173	30770	27940
174	30949	27766
175	31113	27577
176	31284	27396
177	31459	27218
178	31631	27036
179	31810	26862
180	31976	26676
181	32155	26501
182	32323	26318
183	32504	26145
184	32692	25977
185	32859	25792
186	33027	25609
187	33205	25434
188	33365	25244
189	33548	25072
190	33734	24903
191	33908	24724
192	34095	24555
193	34294	24394
194	34472	24219
195	34640	24036
196	34806	23852
197	34980	23673
198	35162	23500
199	35329	23317
200	35489	23130
201	35675	22959
202	35832	22770
203	36019	22600
204	36195	22423
205	36364	22242
206	36529	22059
207	36710	21885
208	36876	21702
209	37040	21518
210	37212	21340
211	37373	21154
212	37536	20970
213	37703	20789
214	37868	20607
215	38035	20426
216	38210	20249
217	38399	20080
218	38553	19892
219	38712	19708
220	38871	19523
221	39041	19344
222	39235	19177
223	39410	19001
224	39572	18819
225	39747	18642
226	39920	18465
227	40087	18285
228	40260	18108
229	40433	17931
230	40611	17756
231	40782	17578
232	40955	17401
233	41136	17228
234	41313	17052
235	41491	16877
236	41665	16701
237	41812	16514
238	41994	16340
239	42207	16179
240	42396	16008
241	42579	15835
242	42749	15657
243	42948	15489
244	43100	15304
245	43297	15136
246	43485	14964
247	43655	14786
248	43815	14605
249	44002	14432
250	44185	14259
251	44381	14089
252	44543	13908
253	44732	13736
254	44929	13567
255	45106	13391
256	45301	13220
257	45494	13048
258	45678	12874
259	45868	12701
260	46065	12531
261	46245	12355
262	46446	12185
263	46625	12009
264	46779	11827
265	46950	11649
266	47138	11475
267	47320	11300
268	47500	11124
269	47677	10948
270	47860	10773
271	48023	10593
272	48199	10416
273	48368	10238
274	48568	10067
275	48761	9893
276	48935	9716
277	49100	9537
278	49285	9362
279	49457	9185
280	49624	9006
281	49804	8830
282	49989	8655
283	50160	8477
284	50320	8298
285	50510	8124
286	50680	7946
287	50839	7767
288	51042	7594
289	51214	7417
290	51401	7242
291	51591	7067
292	51774	6891
293	51986	6719
294	52150	6540
295	52330	6364
296	52515	6188
297	52693	6011
298	52877	5835
299	53057	5659
300	53228	5481
301	53387	5303
302	53576	5127
303	53778	4953
304	53985	4779
305	54171	4602
306	54342	4425
307	54507	4247
308	54677	4069
309	54863	3893
310	55007	3714
311	55188	3537
312	55379	3361
313	55559	3184
314	55741	3008
315	55922	2831
316	56124	2655
317	56303	2478
318	56523	2303
319	56699	2126
320	56860	1948
321	57014	1770
322	57187	1593
323	57386	1416
324	57555	1239
325	57740	1062
326	57921	885
327	58095	708
328	58278	531
329	58435	354
330	58601	177
331	58773	0
